ProductId,Name,Price,SalesVolume,CompetitorPrice,CostOfGoods,SeasonalInfluence,MarketingSpend,CustomerDemographics
1,Yoga Mat,29.99,500,30.0,15.0,1.0,2000,0.5
2,Dumbbell Set,99.99,300,95.0,50.0,0.5,1500,0.8
3,Sports Water Bottle,14.99,800,13.0,7.0,1.5,2500,0.6
4,Running Shoes,59.99,600,60.0,30.0,1.2,2400,0.9
5,Basketball,25.99,700,28.0,20.0,1.1,1800,0.7
6,Baseball Bat,35.99,200,35.0,18.0,1.3,1600,0.4
7,Soccer Ball,15.99,900,16.0,8.0,1.4,3000,1.0
8,Football Gloves,39.99,500,38.0,20.0,1.0,2200,0.6
9,Gym Shorts,12.99,400,15.0,6.0,0.8,200,0.7
10,Tennis Racket,150.0,100,155.0,90.0,1.6,2600,0.9
11,Resistance Bands,22.99,350,25.0,11.0,1.0,1500,0.6
12,Jump Rope,9.99,180,12.0,5.0,1.1,1000,0.8
13,Protein Powder,30.0,250,35.0,15.0,0.7,2800,0.7
14,Waterproof Watch,120.0,130,125.0,60.0,0.9,2300,0.5
15,Hiking Boots,75.0,110,80.0,37.0,1.5,2100,0.9
16,Duffle Bag,40.0,220,45.0,22.0,0.8,1800,0.8
17,Sports Headband,14.99,140,16.99,7.0,1.0,1900,0.6
18,Sunglasses,25.99,170,27.99,12.5,1.2,1700,0.7
19,Yoga Block,18.99,90,20.0,9.0,1.3,1600,0.5
20,Kettlebell,29.99,300,31.99,14.0,1.1,2500,0.6
21,Yoga Pants,40.0,400,45.0,20.0,0.9,2600,0.7
22,Cycling Gloves,19.99,450,21.99,10.0,1.4,2400,0.8
23,Compression Socks,15.99,500,17.99,8.0,1.2,2200,0.9
24,Stretching Strap,22.0,600,25.0,11.0,1.0,2000,0.6
25,Foam Roller,24.99,200,27.0,12.0,0.8,1900,0.7
26,Yoga Pants 2,45.0,420,47.0,22.5,1.3,2800,0.5
